category,type of issue,funds lost,rugged_date,symbol,name,id,price_float,market_cap_float,volume,wasrekt,contract_chain,contract_address
Token,Rugpull,"$159,685",2022-05-27,sport,sport move,sports-analyst-ai,0.046843905,,61306.0,1,base,0x220c6019203aaa7f14b5cd44a323446019609798
Token,Rugpull,"$159,685",2022-05-27,sport,sport move,sports-analyst-ai,0.03252922,,,1,base,0x220c6019203aaa7f14b5cd44a323446019609798
Token,Rugpull,"$22,796",2021-01-24,game,game swap excha...,sportsology-game,0.01458621,,131978.0,1,arbitrum-one,0xc4cbd54ffa7a6a142fd73554cc6c23dd95cd8e01
Token,Rugpull,"$22,796",2021-01-24,game,game swap excha...,sportsology-game,0.0130977,,,1,arbitrum-one,0xc4cbd54ffa7a6a142fd73554cc6c23dd95cd8e01
Token,Rugpull,"$173,462",2023-08-23,acc,aspiring cooper...,stage-0,0.000519755,,27393.0,1,solana,CFTyvm52gRGRRx2LZK22XivaYgm3xKCw7PUpNDvmXhhV
Token,Rugpull,"$173,462",2023-08-23,acc,aspiring cooper...,stage-0,0.000589155,,,1,solana,CFTyvm52gRGRRx2LZK22XivaYgm3xKCw7PUpNDvmXhhV
Token,Honeypot,,2021-05-26,stt,stratos,statter-network,0.6707055,,5347600.0,1,,
Token,Honeypot,,2021-05-26,stt,stratos,statter-network,0.5693575,,,1,,
Token,Rugpull,"$11,825",2022-08-26,gmt,gmt,stepn,0.058752,158516449.0,39748099.0,1,"solana, ethereum, binance-smart-chain, polygon-pos","7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx, 0xe3c408bd53c31c085a1746af401a4042954ff740, 0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1, 0x714db550b574b3e927af3d93e26127d15721d4c2"
Token,Rugpull,"$751,627",2023-11-23,sai,sai token rugpu...,stonefish-ai,6.205e-06,,4688.37,1,sui,0x5b40e84bd4b428fb7ae15a4a36ed1527d1b7bfaeae21855a499714175d215c2e::sai::SAI
Token,Rugpull,"$751,627",2023-11-23,sai,sai token rugpu...,stonefish-ai,1.6125e-05,,,1,sui,0x5b40e84bd4b428fb7ae15a4a36ed1527d1b7bfaeae21855a499714175d215c2e::sai::SAI
Token,Honeypot,,2021-03-27,storm,safestorm,storm-trade,0.01823299,,1151855.0,1,the-open-network,EQBsosmcZrD6FHijA7qWGLw5wo_aH8UN435hi935jJ_STORM
Token,Honeypot,,2021-03-27,storm,safestorm,storm-trade,0.018364415,,,1,the-open-network,EQBsosmcZrD6FHijA7qWGLw5wo_aH8UN435hi935jJ_STORM
